ID,SCOP (Jun 23 to Jun 24)
1,3.024253374824628
2,3.8181351466256412
3,2.2957506218355146
4,4.000051512515804
7,2.2375951937180134
8,3.4841671304620436
9,3.4814152435299537
11,3.324023060200978
12,1.9219095063863247
17,2.772792051184947
36,3.713539106153689
44,2.493171431060841
45,2.5360284796142154
46,4.230983626944
55,2.6937187944758394
56,2.848203096638084
71,2.4407500539066542
74,3.3626900828558735
76,2.756554326781712
80,2.6428184860678354
82,1.83407693338611
86,3.5739638249863392
99,2.4071162833067077
111,2.4687964205368127
113,3.19997916344855
114,3.545247142745757
115,3.2172856761468025
116,3.5812928332592677
117,3.2477680248851173
120,2.387335475129153
126,2.856228027695953
127,2.367503966747251
140,2.792698390408078
147,3.4355842445308653
148,1.8335709364528499
159,2.7225756627273414
162,2.9195465068877704
163,2.763659630020908
169,0.06192556136573362
193,2.199562018981813
204,4.179148949989676
211,2.902357014086819
212,3.1371364807180053
222,3.3113529753828255
224,3.2498811638437872
240,2.226389017573119
250,2.509752130006925
252,4.187906768331204
